"timestamp","city","population","country","latitude","longitude","temperature","temp_min","temp_max","pressure","humidity","visibility","wind_speed","wind_degree","rain(1h)","rain(3h)","snow(1h)","snow(3h)","weather_id","weather_group","description","cloudiness","sunrise","sunset","air_quality_index","co","no","no2","o3","so2","nh3","pm2_5","pm10"
"2024-02-14 00:00:39","Leeds","455123","GB","53.79648","-1.54785","7.600000000000023","7.140000000000043","8.460000000000036","1005","95","10000","0.16","95","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","273.71","0.32","34.62","15.02","3.7","1.38","5.95","6.47"
"2024-02-14 01:00:38","Leeds","455123","GB","53.79648","-1.54785","7.650000000000034","6.8700000000000045","8.510000000000048","1005","95","10000","0.45","135","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:15","2024-02-14 17:11:47","1.0","260.35","0.08","23.99","23.25","2.98","1.19","3.98","4.36"
"2024-02-14 02:00:38","Leeds","455123","GB","53.79648","-1.54785","7.270000000000039","6.8700000000000045","9.060000000000002","1005","95","10000","0.45","180","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:15","2024-02-14 17:11:47","1.0","243.66","0.01","13.2","38.62","2.86","0.93","1.59","1.83"
"2024-02-14 03:00:33","Leeds","455123","GB","53.79648","-1.54785","7.470000000000027","6.8700000000000045","10.75","1005","95","10000","1.21","167","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:15","2024-02-14 17:11:47","1.0","230.31","0.0","7.88","50.78","2.71","0.74","0.94","1.12"
"2024-02-14 04:00:36","Leeds","455123","GB","53.79648","-1.54785","7.32000000000005","6.8799999999999955","10.120000000000005","1005","96","10000","0.45","135","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","230.31","0.0","5.66","55.79","2.44","0.64","0.68","0.81"
"2024-02-14 05:00:35","Leeds","455123","GB","53.79648","-1.54785","7.610000000000014","6.8700000000000045","10.75","1005","96","10000","0.45","135","0","0","0","0","804","Clouds","overcast clouds","100","2024-02-14 07:29:15","2024-02-14 17:11:47","1.0","230.31","0.0","5.18","55.79","2.21","0.63","0.57","0.69"
"2024-02-14 06:00:38","Leeds","455123","GB","53.79648","-1.54785","7.920000000000016","6.8700000000000045","10.75","1005","98","300","2.57","140","0","0","0","0","741","Fog","fog","100","2024-02-14 07:29:15","2024-02-14 17:11:47","1.0","230.31","0.0","5.48","56.51","2.24","0.63","0.57","0.7"
"2024-02-14 07:00:36","Leeds","455123","GB","53.79648","-1.54785","8.120000000000005","6.8799999999999955","11.310000000000002","1005","98","900","2.06","140","0","0","0","0","741","Fog","fog","75","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","233.65","0.0","8.48","55.08","2.68","0.67","0.7","0.85"
"2024-02-14 08:00:35","Leeds","455123","GB","53.79648","-1.54785","8.360000000000014","6.8799999999999955","11.310000000000002","1005","98","300","3.09","160","0","0","0","0","741","Fog","fog","100","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","240.33","0.0","12.51","52.93","3.07","0.68","0.84","1.0"
"2024-02-14 09:00:34","Leeds","455123","GB","53.79648","-1.54785","9.210000000000036","7.8799999999999955","11.860000000000014","1005","96","3000","2.57","150","0","0","0","0","300","Drizzle","light intensity drizzle","100","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","243.66","0.03","13.88","52.93","3.25","0.65","0.87","1.03"
"2024-02-14 10:00:35","Leeds","455123","GB","53.79648","-1.54785","10.100000000000023","9.360000000000014","11.860000000000014","1005","96","8000","1.54","140","0","0","0","0","741","Fog","fog","75","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","243.66","0.14","12.17","55.08","3.16","0.63","0.79","0.96"
"2024-02-14 11:00:38","Leeds","455123","GB","53.79648","-1.54785","11.25","10.920000000000016","12.410000000000025","1006","96","10000","2.57","210","0","0","0","0","500","Rain","light rain","75","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","236.99","0.26","10.03","53.64","3.28","0.79","0.93","1.17"
"2024-02-14 12:00:36","Leeds","455123","GB","53.79648","-1.54785","12.350000000000023","11.450000000000045","13.150000000000034","1005","94","10000","3.6","210","0","0","0","0","500","Rain","light rain","75","2024-02-14 07:29:14","2024-02-14 17:11:46","1.0","233.65","0.27","9.34","55.08","3.79","0.85","0.93","1.19"
"2025-01-09 15:07:17","Leeds","455123","GB","53.79648","-1.54785","1.650000000000034","0.4700000000000273","2.0300000000000296","1009","75","10000","5.14","270","0","0","0","0","800","Clear","clear sky","0","2025-01-09 08:20:31","2025-01-09 16:05:45","2.0","247.0","0.46","7.8","70.81","2.8","1.58","1.15","1.55"
"2025-01-09 16:00:04","Leeds","455123","GB","53.79648","-1.54785","0.9600000000000364","0.010000000000047748","1.7000000000000455","1010","76","10000","6.17","290","0","0","0","0","800","Clear","clear sky","0","2025-01-09 08:20:31","2025-01-09 16:05:45","2.0","247.0","0.08","9.25","68.67","3.13","2.15","1.21","1.62"
